frame	time	光标 3	units
0	2002-06-12 22:39:15.946000	1.611202e+01	C
1	2002-06-12 22:39:16.105000	1.600909e+01	C
2	2002-06-12 22:39:16.265000	1.600174e+01	C
3	2002-06-12 22:39:16.585000	1.606057e+01	C
4	2002-06-12 22:39:16.746000	1.605322e+01	C
5	2002-06-12 22:39:16.906000	1.603851e+01	C
6	2002-06-12 22:39:17.226000	1.614141e+01	C
7	2002-06-12 22:39:17.386000	1.605322e+01	C
8	2002-06-12 22:39:17.546000	1.605322e+01	C
9	2002-06-12 22:39:17.866000	1.611937e+01	C
10	2002-06-12 22:39:18.026000	1.610467e+01	C
11	2002-06-12 22:39:18.186000	1.601645e+01	C
12	2002-06-12 22:39:18.506000	1.600174e+01	C
13	2002-06-12 22:39:18.666000	1.601645e+01	C
14	2002-06-12 22:39:18.826000	1.606792e+01	C
15	2002-06-12 22:39:19.146000	1.609732e+01	C
16	2002-06-12 22:39:19.306000	1.611202e+01	C
17	2002-06-12 22:39:19.466000	1.606792e+01	C
18	2002-06-12 22:39:19.626000	1.604586e+01	C
19	2002-06-12 22:39:19.946000	1.600174e+01	C
20	2002-06-12 22:39:20.106000	1.603851e+01	C
21	2002-06-12 22:39:20.266000	1.603851e+01	C
22	2002-06-12 22:39:20.586000	1.616345e+01	C
23	2002-06-12 22:39:20.746000	1.619282e+01	C
24	2002-06-12 22:39:20.906000	1.614876e+01	C
25	2002-06-12 22:39:21.226000	1.617079e+01	C
26	2002-06-12 22:39:21.386000	1.618548e+01	C
27	2002-06-12 22:39:21.546000	1.614876e+01	C
28	2002-06-12 22:39:21.866000	1.619282e+01	C
29	2002-06-12 22:39:22.026000	1.622219e+01	C
30	2002-06-12 22:39:22.186000	1.619282e+01	C
31	2002-06-12 22:39:22.506000	1.626622e+01	C
32	2002-06-12 22:39:22.666000	1.627355e+01	C
33	2002-06-12 22:39:22.826000	1.635422e+01	C
34	2002-06-12 22:39:23.146000	1.633956e+01	C
35	2002-06-12 22:39:23.306000	1.647144e+01	C
36	2002-06-12 22:39:23.466000	1.646412e+01	C
37	2002-06-12 22:39:23.626000	1.644215e+01	C
38	2002-06-12 22:39:23.786000	1.654464e+01	C
39	2002-06-12 22:39:23.946000	1.658121e+01	C
40	2002-06-12 22:39:24.106000	1.653732e+01	C
41	2002-06-12 22:39:24.266000	1.658853e+01	C
42	2002-06-12 22:39:24.426000	1.658853e+01	C
43	2002-06-12 22:39:24.586000	1.661047e+01	C
44	2002-06-12 22:39:24.746000	1.671278e+01	C
45	2002-06-12 22:39:24.906000	1.672009e+01	C
46	2002-06-12 22:39:25.226000	1.680040e+01	C
47	2002-06-12 22:39:25.386000	1.680040e+01	C
48	2002-06-12 22:39:25.546000	1.680040e+01	C
49	2002-06-12 22:39:25.866000	1.690252e+01	C
50	2002-06-12 22:39:26.026000	1.694625e+01	C
51	2002-06-12 22:39:26.186000	1.693897e+01	C
52	2002-06-12 22:39:26.506000	1.709918e+01	C
53	2002-06-12 22:39:26.666000	1.708462e+01	C
54	2002-06-12 22:39:26.826000	1.704095e+01	C
55	2002-06-12 22:39:27.148000	1.720100e+01	C
56	2002-06-12 22:39:27.308000	1.723734e+01	C
57	2002-06-12 22:39:27.470000	1.725187e+01	C
58	2002-06-12 22:39:27.628000	1.736080e+01	C
59	2002-06-12 22:39:27.788000	1.737531e+01	C
60	2002-06-12 22:39:27.948000	1.736805e+01	C
61	2002-06-12 22:39:28.109000	1.736080e+01	C
62	2002-06-12 22:39:28.268000	1.743335e+01	C
63	2002-06-12 22:39:28.429000	1.749860e+01	C
64	2002-06-12 22:39:28.588000	1.749860e+01	C
65	2002-06-12 22:39:28.749000	1.746960e+01	C
66	2002-06-12 22:39:28.909000	1.755657e+01	C
67	2002-06-12 22:39:29.229000	1.768687e+01	C
68	2002-06-12 22:39:29.389000	1.775919e+01	C
69	2002-06-12 22:39:29.549000	1.776642e+01	C
70	2002-06-12 22:39:29.869000	1.783146e+01	C
71	2002-06-12 22:39:30.029000	1.783146e+01	C
72	2002-06-12 22:39:30.189000	1.790367e+01	C
73	2002-06-12 22:39:30.509000	1.796862e+01	C
74	2002-06-12 22:39:30.669000	1.797584e+01	C
75	2002-06-12 22:39:30.829000	1.805516e+01	C
76	2002-06-12 22:39:31.149000	1.817043e+01	C
77	2002-06-12 22:39:31.309000	1.827838e+01	C
